Issue id	Summary
28195	Reset-Pass > add ability to reset password for mutliple accounts tied to the same email address
32598	BasicLTI: Encrypted session is not returning a userEid 
54410	Banner notifying Instructor that Site Import is complete
32594	getting stackOverflowError in Lessons 
28188	Fix Deep Links from the Rich Text Editor
62972	Job Get Archives should not run by default OTB
58724	Publish Now in Course Site: Notification
41432	Tools set to Invisible are visible after Import from Site
50090	Notify Instructor when posting Announcement that tool is invisible/locked for students
37067	Overview page should fallback to short_desc then title
63019	Show warning when deleting linked Assignments
58715	Lessons: Not all items display when joining sections
12865	Response rate / link directs user to send eval notifications template
37058	"Assignments: Inconsistency between ""Inline and Attachments"" and ""Attachments Only"""
41471	"Resources Tool - ""All site files"" menu cannot be closed intuitively with keyboard"
45819	"If instructor grades student assignment without a submission, student can submit afterwards and it shows up as a resubmission"
63003	Stacktrace in Signup caused by possible race condition
54386	Dropbox WebDAV transfer does not show Student names in Windows 10
32566	Assignments - editing Announcement notification type doesn't change/add new notification in announcement
37033	Build atom level web components for button and checkbox
58723	"Add chat notifications to social bullhorn, remove when read"
32579	"In rosters, profile photo unaffected by ""view profile"" permission"
36994	Forums / can set same gradebook item to be graded by different rubrics
28110	Required lessons page may still be visible to students
32570	"Forums- Print Views Are Inconsistent, Tabs Broken"
28105	"Rubrics Text formatting in criterion, ratings descriptions and titles"
36990	Rubric does not function properly with Ratings with the same point value
32565	Add a Limit for Rubric Ratings
28161	Alert do not work for planned announcement
54387	Improve Add button layout in Postem
28157	Comment Window in Rubric is Unrestricted
41452	Conditional Release is not displayed in resources
32557	Resources: Heading missing
23699	Unable to create tool (LTI 1.3 tool) in sites
54374	Change Hidden/Course Grade Calculation Icons to buttons
50068	Roster Profile Pictures won't Display Quickly
37038	Browser console jquery error when selecting grade in forum topic posting
50117	Calendar Search Feature
45802	Instructor - SiteInfo/Confirming edits to page: 
54364	Resources: Uploaded File thumbnail error message
50110	Instructor-Resources-Upload Files button text
41438	"Forum Settings/Forum Posting checkbox <title =""Forumlocked"">"
23680	Remove Buttons that Don't Work
58676	Calendar Tool Alert for Overlapping Events
37021	Calendar Default View Setting only Available for Professor
32602	MS Edge - Forums: Wide content causes horizontal scrollbars
58673	Calendar Legend Difficult to read
41430	Resources: Table text has low color contrast
41473	Bulk or JoinSet group creation is not adding custom roles to the groups
50085	External Gradebook item icon not aligned properly in student view
28108	Tests And Quizzes Invalid date error message even if the format is valid
23656	Lessons: Dynamic Time Delay Pre-Requisite
50081	StoredConfigService: org.apache.commons.lang.IllegalClassException
32567	Assignments / preview rubric on small screen does not allow scrolling
63005	upgrade HSQLDB 2.4.1
41459	Move Gradebook Classic REST endpoints to GBNG
32564	Question Pool - Added questions in the Test can be flagged
23648	Lessons: Uncaught TypeError on index of pages
54384	Webservice copy of template-based LTI (NOT instance-wide)
36988	Console error in instructor gradebook for handsontable
12065	Excel and CSV result exports differ
23651	T&Qs : Allow instructors to end 'In progress' submission
36984	"Move ""Hide from Site Drawer"" closer to work area in Preferences > Sites"
54322	Lessons / Import / export issues with cc
62936	"Gradebook ""Set Score for Empty Cell"" process needs improvement"
45738	Accessibility Problem: Deleting a syllabus dialogue box calls it undefined. 
32524	Samigo- Clicking on “Part” links in Table of Contents gives confusing nav alert
36970	Hovering over the keyboard icon in gradebookng sometimes causes a scrollbar jitter
32521	Create a pre-configured Lesson as a Syllabus
36967	Roll-Up Jira for Re-Use Material from Existing Site Copying Method
32518	My Worksite Setup > New > Re-Use Material Fails if LTI tool is Selected
28067	Add instructor's name to student details on assignments
23607	Error link to Hidden Lesson from another Lesson
54295	Forums > Improve error message when failing to select destination topic
28063	Manage overview / removing widgets removes tool 
23598	Edge: CSS console errors when creating gradebook items
36948	Assignments / View assignment by student -> unable to use prev/next buttons
45710	a11y improvements for blind people
58585	Lombokise EntityBroker
36964	Email > put attachment list at top of email
54302	New Chat properties / instructions should be added to default.sakai.properties
58619	T&Q: Markup text for FITB does not work as the instructions state
50010	TemplateAssesmentSubmission emails are not internationalized
54271	Tests and quizzes tool: Exported Assessments do not include their Images
17760	Lessons 2.0 - Improving and Updating the Sakai Lessons Tool
62898	Remove RSF from Polls.
32445	RSS URL for Announcement tool does not work
27989	"If the reviewer does not submit the peer review and it's auto-submitted, the instructor's view shows ""draft"" even after release "
23597	"Assignments: Peer assessment should display ""No attachments submitted"" under ""Reviewer Attachments"" if none attached"
36918	GBNG > Logic error when enabling/disabling drop/keep text fields
17756	EvalSys as a Mature Tool (Evaluation System)
17775	"""Modernize"" Forums tool"
13153	Evalsys - assigning groups-hierarchy 
12703	CK Editor issues when editing an item on a template
27920	No Reset Button displayed when it is a fill in the blank question type
36764	Support @ style mention tags in chat
32334	Would be nice to better visually distinguish my messages from others in chat
23447	Email link is missing in the submission status(Only in Internet Explorer)
62740	The UX for the drop-down isn't properly aligned
